DURAK_ADI,display_name
Nurtepe Taksi-1,"Nurtepe Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, Türkiye"
GAZİOSMANPAŞA DEVLET HASTANESİ TAKSİ,"Karayolları Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
ÖZEL EMSEY HASTANESİ ÖNÜ UMUMA AÇIK TAKSİ DURAĞI,"Çamlık Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34912, Türkiye"
BUYAKA TAKSİ DURAĞI,"Fatih Sultan Mehmet Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
SAHİL TAKSİ-1,"Fatih Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
MAT CENTER,"100. Yıl Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
HÜR TAKSİ,"15 Temmuz Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
TARABYA TAKSİ,"Tarabya Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34457, Türkiye"
FLORA TAKSİ,"Küçükbakkalköy Mahallesi, İstanbul, 34750, Türkiye"
CEVİZLİ TAKSİ,"Orhantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ÇAĞLAYAN TAKSİ,"Çağlayan Mahallesi, İstanbul, Marmara Bölgesi, 34403, Türkiye"
KERVANCILAR TAKSİ,"Küçükbakkalköy Mahallesi, İstanbul, 34750, Türkiye"
AVCILAR MARMARA TAKSİ DURAĞI,"Merkez Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
CEVİZLİ İSTASYON,"Orhantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ÇİNİLİ TAKSİ,"Muratreis Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34664, Türkiye"
İSPARK CEVİZLİBAĞ,"Maltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34010, Türkiye"
KUBİLAY TAKSİ,"Çeliktepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
FENER KALAMIŞ YOLU TAKSİ,"Fenerbahçe Mahallesi, İstanbul, Marmara Bölgesi, 34726, Türkiye"
Denizköşkler Taksi,"Denizköşkler Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
ATABİRLİK TAKSİ,"Ataköy 1. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
Kayışdağı Caddesi Umuma Açık,"İnönü Mahallesi, İstanbul, Türkiye"
İSPARK KOZYATAĞI METRO-HALYOLU,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
İSPARK  KAYIŞDAĞI CAD. BAĞLARİÇİ OTOBÜS DURAĞI ALTI,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
SAHRA BİRLİK TAKSİ,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SAMANDIRA MERKEZ TAKSI,"Eyüp Sultan Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, Türkiye"
AVCILAR GOL TAKSİİ DURAĞI,"Üniversite Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
İHLAS İKİ KENT TAKSİ,"Kavaklı Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34520, Türkiye"
PALLADİUM AVM ÖNÜ,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
BAKIRKÖY BİRLİK TAKSİ,"Kartaltepe Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34145, Türkiye"
YENİSAHRA METRO DURAĞI,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
BATMAN SOKAK BUHU BABA UMUMA AÇIK TAKSİ DURAĞI,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Denizatı Kent Taksi Durağı,"Sümer Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34025, Türkiye"
ZİVERBEY TAKSİ,"Zühtüpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Atrium Taksi,"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
DEPO TAKSİ,"Yenidoğan Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
GÖZTEPE KAVŞAĞI(GÖZTEPE NİDA KULE KARŞISI) İŞ MERKEZİ KARŞISI,"Merdivenköy Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34732, Türkiye"
RIHTIM METRO TAKSİ,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
İSPARK RIHTIM CADDESİ TAKSİ,"Osmanağa Mahallesi, İstanbul, Marmara Bölgesi, 34714, Türkiye"
OSMANİYE TAKSİ DURAĞI,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
İSPARK DUMLUPINAR,"Zafer Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34194, Türkiye"
OSMANİYE MERKEZ TAKSİ DURAĞI,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
TURUNCU TAKSİ,
Göztepe Metro Durağı,"Ünalan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34700, Türkiye"
ESMAN TAKSİ,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
ADIGÜZEL SİTELER TAKSİ,"Yenişehir Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34779, Türkiye"
Balıklı Rum Hastane Taksi,"Kazlıçeşme Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34020, Türkiye"
KADİR HAS ÇOCUK DÜNYASI TAKSİ,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
BAKIRKÖY METRO DURAĞI,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
ŞERİFALİ CAN TAKSİ,"Şerifali Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Ünalan Metro Durağı,"Ünalan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34700, Türkiye"
Samatya SGK Hastane - 1,"Cerrahpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK BURHAN FELEK CAD. TAKSİ,"Selimiye Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34668, Türkiye"
İstanbul EvleriTaksi 1,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
TORYUM AVM TAKSİ,"Turgut Özal Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ALİ DEDE CAD.MEDİPOL HASTANESİ YANI,"Koşuyolu Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34719, Türkiye"
Çiçek Taksi,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
Yenikapı Taksi,"Katip Kasım Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
YEŞİLKENT TAKSİ DURAĞI,"Adnan Kahveci Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34528, Türkiye"
Aksaray Taksi,"Aksaray Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34096, Türkiye"
Sefaköy Merkez Taksi - 2,"Tevfikbey Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
MERKEZ EVLERİ,"Merkezefendi Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
STAR CİTY TAKSİ,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
KAYA TAKSİ,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
HİLTON TAKSİ,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
EVRENTUR,"Caddebostan Mahallesi, İstanbul, Marmara Bölgesi, 34728, Türkiye"
ALP TAKSİ,"Kozyatağı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34742, Türkiye"
HURRY IN TURİZM OTEL TAKSİ,"Mehmet Nesih Özmen Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
ÜSKÜDAR ÇAYIR TAKSİ DURAĞI,"Cumhuriyet Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34697, Türkiye"
BİRLİK TAKSİ,"İcadiye Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
Maya Residans,"Bebek Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34342, Türkiye"
İSTANBUL ADALET SARAYI TAKSİ,"Çağlayan Mahallesi, İstanbul, Marmara Bölgesi, 34403, Türkiye"
AKATLAR TAKSİ,"Akat Mahallesi, İstanbul, Marmara Bölgesi, 34335, Türkiye"
Kanyon Taksi - 1,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
Çınar Taksi,"Bebek Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34342, Türkiye"
POLLCENTER TAKSİ DURAĞI,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
ÇAMLIK CADDESİ İSPARK,"Levent Mahallesi, İstanbul, Marmara Bölgesi, 34330, Türkiye"
UYGUN TAKSİ,"Levent Mahallesi, İstanbul, Marmara Bölgesi, 34330, Türkiye"
KAĞITHANE EMNİYET TAKSİ DURAĞI,"Emniyetevleri Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34415, Türkiye"
MEVLANA TAKSİ DURAĞI,"Mevlana Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK 4. LEVENT METRO ÇIKIŞI,"Emniyetevleri Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34415, Türkiye"
BİZİM TAKSİ,"Anadolu Hisarı Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34810, Türkiye"
2.ULUS MERKEZ TAKSİ,"Konaklar Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye"
Konak Taksi,"Konaklar Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye"
SEYRANTEPE EMNİYET TAKSİ DURAĞI,"Seyrantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
CEBECİ MERKEZ TAKSİ,"Cebeci Mahallesi, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
HASTANE ACİL TAKSİ-1 (DOĞUŞ OTO),"Maslak Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
MASHATTAN TAKSİ-1,"Maslak Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
İSPARK SAİP MOLLA CAD. TAKSİ DURAĞI,"İncirköy Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34800, Türkiye"
KÜÇÜKEV TAKSİ,"Pınar Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34460, Türkiye"
ŞİRKET TAKSİ,"Ferahevler Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ACIBADEM ÇAMLIK TAKSİ,"Tarabya Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34457, Türkiye"
Göktürk Merkez Taksi-3,"Göktürk Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34077, Türkiye"
KOÇ TAKSİ,"Maltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34010, Türkiye"
Tepebaşı Taksi - 1,"Asmalı Mescit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Pera Taksi,
ZİNCİRLİKUYU THE GREEN TAKSİ,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
Karaköy Yolcu Salonu Turizm Taksi,"Kemankeş Karamustafa Paşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
LİV TAKSİ,"Ulus Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
GÜVEN TAKSİ,"Çınar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
GÜNEŞLİ MERKEZ TAKSİ,"Hürriyet Mahallesi, İstanbul, Marmara Bölgesi, 34118, Türkiye"
BEYKENT TAKSİ (2),"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
BEYKOZ UFUK TAKSİ DURAĞI,"Merkez Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34820, Türkiye"
İSPARK - FATİH VATAN MİGROS ÖNÜ,"Topkapı Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34093, Türkiye"
EYÜP DEVLET HASTANESİ-1,"Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 0000, Türkiye"
EVREN TAKSİ DURAĞI,"15 Temmuz Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
KÖKNAR TAKSİ DURAĞI(GÖZDE TAKSİ),"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
TURİZM TAKSİ DURAĞI,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
AIRPORT TAKSİ DURAĞI,"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
ÇINAR TAKSİ DURAĞI,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
İNTERNATİONAL HOSPİTAL TAKSİ,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
YENİBOSNA KAVŞAĞI YAN YOL BAKIRKÖY İSTİKAMETİ UMUMA AÇIK TAKSİ DURAĞI,"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
YEŞİLYURT TAKSİ DURAĞI,"Yeşilyurt Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
ATAMERKEZ MERKEZ TAKSİ(BAKIRKÖY),"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
MEGA TAKSI,"Göztepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
BAHÇELIEVLER DEVLET HASTANESI -1,
SANCAKTEPE EĞT UYG. OKULU YANI UATD,"Sancaktepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
ATAKÖY TURİZM TAKSİ,"Ataköy 2-5-6. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34158, Türkiye"
İLGİ / 24 TAKSİ DURAĞ,"Güneştepe Mahallesi, Güngören, İstanbul, Marmara Bölgesi, Türkiye"
BAKIRKÖY DEVLET HASTANESİ TAKSİ DURAĞI,"Zuhuratbaba Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34147, Türkiye"
BAĞCILAR DEVLET HASTANESİ TAKSİ DURAĞI,"Bağcılar Merkez Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
CAPACİTY TAKSİ,"Ataköy 1. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
İSTANBUL EVLERİ TAKSİ DURAĞI,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
İSPARK - BAKIRKÖY İSTANBUL CADDESİ,"Cevizlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34142, Türkiye"
ESENLER KAZIM KARABEKİR OTOBÜS DURAĞI MEVKİİ TAKSİ (ESENLER ÇEVRE TAKSİ),"Kazım Karabekir Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye"
SEÇKİNLER TAKSİ,"50. Yıl Mahallesi, Cebeci Köyü, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK BAKIRKÖY IDO,"Zeytinlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34140, Türkiye"
OSMANİYE BAKIRKÖY ÖZEL TAKSİ DURAĞI(YAŞAR YILDIZ),"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
MARMARA FORM TAKSİ,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
GÜNGÖREN ÖZMEN TELSİZ TAKSİ DURAĞI,"Mehmet Nesih Özmen Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
İSPARK GÜNGÖREN,"Abdurrahman Nafiz Gürman Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
İSPARK - ÇIRPICI METRO İSTASYONU UMUMA AÇIK TAKSİ DURAĞI,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
YILDIRIM PARK TAKSİ DURAĞI,"Yıldırım Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
FULYA TAKSİ,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
AYAZAĞA GÜVEN TAKSİ DURAĞI,"Ayazağa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
CİHAN TAKSİ DURAĞI,"Gayrettepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
BEŞİKTAŞ SARAY TAKSİ DURAĞI,"Gayrettepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SAPPHİRETAKSİ,"Emniyetevleri Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34415, Türkiye"
MANOLYA TAKSİ,"Dikilitaş Mahallesi, İstanbul, Marmara Bölgesi, 34349, Türkiye"
FANTASTİC TAKSİ DURAĞI,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
BARBOROS TAKSİ DURAĞI,"Cihannüma Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34022, Türkiye"
İSPARK - BEŞİKTAŞ İSKELE CFADDESİ,"Sinanpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - BEŞİKTAŞ DARPHANE,"Dikilitaş Mahallesi, İstanbul, Marmara Bölgesi, 34349, Türkiye"
İSPARK İSKELE,"Sinanpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
BEŞİKTAŞ CONRAD ÖNÜ TAKSİ DURAĞI,"Cihannüma Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34022, Türkiye"
ÇINAR SOKAK UMUMA AÇIK TAKSİ DURAK YERİ,"Konaklar Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye"
YENI LEVENT OYAK TAKSI DURAĞı,"Konaklar Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye"
ÜSKÜDAR HAREM İDO İSKELE ÖNÜ,"Selimiye Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34668, Türkiye"
POL TAKSİ DURAĞI,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
KÖŞK TAKSİ IHLAMUR,"Konaklar Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye"
ÖNER TAKSİ DURAĞI,"Balmumcu Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34394, Türkiye"
İSPARK BEŞİKTAŞ LEVENT ÇARŞI CADDESİ,"Levent Mahallesi, İstanbul, Marmara Bölgesi, 34330, Türkiye"
İSPARK - ÜSKÜDAR İSKELE ÖNÜ,"Mimar Sinan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
AKASYA TAKSİ DURAĞI,"Maslak Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
LEVENT TAKSİ (BEŞİKTAŞ),"Levent Mahallesi, İstanbul, Marmara Bölgesi, 34330, Türkiye"
LEVAZIM SİTESİ TAKSİ,"Levazım Mahallesi, İstanbul, Marmara Bölgesi, 3430, Türkiye"
3.LEVENT SEVGİ TAKSİ DURAĞI,"Levent Mahallesi, İstanbul, Marmara Bölgesi, 34330, Türkiye"
BALON TESİSİ YANI UMUMA AÇIK TAKSİ DURAĞI,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
BEŞİKTAŞ BASIN TAKSİ DURAĞI,"Levent Mahallesi, İstanbul, Marmara Bölgesi, 34330, Türkiye"
HAYDARPAŞA TAKSİ DURAĞI,"Rasimpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34716, Türkiye"
MAYADROM TAKSİ DURAĞI,"Akat Mahallesi, İstanbul, Marmara Bölgesi, 34335, Türkiye"
İSPARK RIHTIM 2,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
İSPARK - BEYOĞLU SIRASELVİLER CADDESİ,"Katip Mustafa Çelebi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - BEYOĞLU CİHANGİR KATLI OTOPARK ÖNÜ,"Cihangir Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK-BEYOĞLU,"Gümüşsuyu Mahallesi, İstanbul, Marmara Bölgesi, 34437, Türkiye"
METE CADDESİ UMUMA AÇIK TAKSİ DURAĞI,"Gümüşsuyu Mahallesi, İstanbul, Marmara Bölgesi, 34437, Türkiye"
İSPARK ŞİŞLİ,"Merkez Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34381, Türkiye"
GRAND HAYATT TAKSİ,"Harbiye Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34367, Türkiye"
MECLİSİ MEBUSAN CADDESİ UMUMA AÇIK TAKSİ DURAĞI,"Pürtelaş Hasan Efendi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KABATAŞ İDO İSKELESİ UMUMA AÇIK TAKSİ DURAĞI,"Ömer Avni Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK DOLMABAHÇE,"Harbiye Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34367, Türkiye"
İSPARK KABATAŞ İDO,"Ömer Avni Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KABATAŞ İDO İSKELESİ 2 UMUMA AÇIK TAKSİ DURAĞI,"Ömer Avni Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK MAÇKA,"Harbiye Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34367, Türkiye"
SEYRANTEPE MERKEZ TAKSİ DURAĞI,"Seyrantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
AVRUPA TAKSİ DURAĞI,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
İSPARK - ŞİŞLİ MECİDİYEKÖY ORTAKLAR CADDESİ,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
SİLİVRİ E 5 TAKSİ DURAĞI,"Alibey Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KONUT TAKSİ DURAĞI,"Yeni Mahalle, İstanbul, Marmara Bölgesi, Türkiye"
SELİMPAŞA MERKEZ TAKSİ,"Selimpaşa Mahallesi, Silivri, İstanbul, Marmara Bölgesi, 34590, Türkiye"
SELİMPAŞA DURAK TAKSİ,"Selimpaşa Mahallesi, Silivri, İstanbul, Marmara Bölgesi, 34590, Türkiye"
CELALİYE MEYDAN TAKSİ,"Celaliye Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34534, Türkiye"
SILIVRI MARIN PRENSES TAKSI,"Kamiloba Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34534, Türkiye"
BÜYÜKÇEKMECE MERKEZ TAKSİ DURAĞI,"Dizdariye Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
ALBATROS TAKSİ DURAĞI,"Atatürk Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
GÜRPINAR MERKEZ TAKSİ DURAĞI,"Adnan Kahveci Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34528, Türkiye"
KIRAÇ MERKEZ TAKSİ DURAĞI,"Atatürk Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34522, Türkiye"
TUZLA İÇMELER MERKEZ TAKSİ DURAĞI,"Aydıntepe Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, Türkiye"
SAHİL TAKSİ DURAĞI,"Cami Mahallesi, İstanbul, Marmara Bölgesi, 34940, Türkiye"
TUZLA İSTASYON TAKSİ,"İstasyon Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
AYDINLI KÖYÜ TAKSİ DURAĞI,"Aydınlı Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34953, Türkiye"
ŞİFA TAKSİ DURAĞI,"Şifa Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34950, Türkiye"
Haznedar,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
ÖZ ORTAKÖY TAKSİ,"Ortaköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK SÖĞÜTLÜÇEŞME,"Osmanağa Mahallesi, İstanbul, Marmara Bölgesi, 34714, Türkiye"
ÇAVUŞOĞLU TAKSİ DURAĞI,"Nispetiye Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34337, Türkiye"
2.ULUS TURİZM TAKSİ DURAĞI(BEŞİKTAŞ TURİZM)),"Nispetiye Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34337, Türkiye"
HACIOSMAN TAKSİ DURAĞI,"Cumhuriyet Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
UMUT TAKSİ DURAĞI,"Kültür Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye"
TARABYA BAYIRI UMUMA AÇIK TAKSİ DURAĞI,"Çamlıtepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
FISTIKAĞACI TAKSİ DURAĞI,"İcadiye Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
ÖZ ULUS TAKSİ II.,"Ulus Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
1. ULUS TAKSİ DURAĞI,"Kuruçeşme Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34345, Türkiye"
KUŞDİLİ CADDESİ UMUMA AÇIK TAKSİ DURAĞI,"Osmanağa Mahallesi, İstanbul, Marmara Bölgesi, 34714, Türkiye"
SARIYER GAZETECİLER SİTESİ TAKSİ DURAĞI,"Darüşşafaka Mahallesi, İstanbul, Marmara Bölgesi, 34453, Türkiye"
ALKENT TAKSİ,"Akat Mahallesi, İstanbul, Marmara Bölgesi, 34335, Türkiye"
ULUS PARK TAKSİ DURAĞI,"Kuruçeşme Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34345, Türkiye"
MEGA TAKSİ,"Darüşşafaka Mahallesi, İstanbul, Marmara Bölgesi, 34453, Türkiye"
KOŞU YOLU BARBOROS TAKSİ DURAĞI,"Koşuyolu Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34719, Türkiye"
İSPARK SÖĞÜTLÜ ÇEŞME METROBÜS,"Hasanpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34772, Türkiye"
